instance,process,step_scale,time,value,eta,zeta,constraint satisfaction
hamming8-2,tuning,2,2.78634,-128.0,0.002,20.0,True
hamming8-2,tuned,5,5.52327,-128.0,0.002,50.0,True
hamming8-2,tuning,2,2.77328,-128.0,0.002,20.0,True
hamming8-2,tuned,10,5.61527,-128.0,0.002,50.0,True
hamming8-2,tuning,2,2.75376,-128.0,0.002,20.0,True
hamming8-2,tuned,20,6.09626,-128.0,0.002,50.0,True
hamming8-2,tuning,2,2.83829,-128.0,0.002,20.0,True
hamming8-2,tuned,50,7.24882,-128.0,0.002,50.0,True
johnson16-2-4,tuning,2,2.9509,-8.0,0.002,1.0,True
johnson16-2-4,tuned,1,5.72973,-8.0,0.002,1.0,True
johnson16-2-4,tuning,2,2.76742,-8.0,0.002,1.0,True
johnson16-2-4,tuned,2,5.54093,-8.0,0.002,1.0,True
johnson16-2-4,tuning,2,2.76942,-8.0,0.002,1.0,True
johnson16-2-4,tuned,5,5.61876,-8.0,0.002,1.0,True
johnson16-2-4,tuning,2,2.80891,-8.0,0.002,1.0,True
johnson16-2-4,tuned,10,5.63092,-8.0,0.002,1.0,True
johnson16-2-4,tuning,2,2.86308,-8.0,0.002,1.0,True
johnson16-2-4,tuned,20,5.7625,-8.0,0.002,1.0,True
johnson16-2-4,tuning,2,2.79686,-8.0,0.002,1.0,True
johnson16-2-4,tuned,50,6.19804,-8.0,0.002,1.0,True
johnson32-2-4,tuning,2,2.83547,-16.0,0.002,1.0,True
johnson32-2-4,tuned,1,5.70759,-16.0,0.002,1.0,True
johnson32-2-4,tuning,2,2.83593,-16.0,0.002,1.0,True
johnson32-2-4,tuned,2,5.69692,-16.0,0.002,1.0,True
johnson32-2-4,tuning,2,2.9493,-16.0,0.002,1.0,True
johnson32-2-4,tuned,5,5.88915,-16.0,0.002,1.0,True
johnson32-2-4,tuning,2,2.85115,-16.0,0.002,1.0,True
johnson32-2-4,tuned,10,6.12579,-16.0,0.002,1.0,True
johnson32-2-4,tuning,2,2.89522,-16.0,0.002,1.0,True
johnson32-2-4,tuned,20,6.95505,-16.0,0.002,1.0,True
johnson32-2-4,tuning,2,2.82052,-16.0,0.002,1.0,True
johnson32-2-4,tuned,50,9.47083,-16.0,0.002,1.0,True
johnson8-2-4,tuning,2,2.94115,-4.0,0.002,1.0,True
johnson8-2-4,tuned,1,5.79615,-4.0,0.002,1.0,True
johnson8-2-4,tuning,2,2.82766,-4.0,0.002,1.0,True
johnson8-2-4,tuned,2,5.63478,-4.0,0.002,1.0,True
johnson8-2-4,tuning,2,2.82781,-4.0,0.002,1.0,True
johnson8-2-4,tuned,5,5.69009,-4.0,0.002,1.0,True
johnson8-2-4,tuning,2,2.87422,-4.0,0.002,1.0,True
johnson8-2-4,tuned,10,5.73561,-4.0,0.002,1.0,True
johnson8-2-4,tuning,2,2.82172,-4.0,0.002,1.0,True
johnson8-2-4,tuned,20,5.62875,-4.0,0.002,1.0,True
johnson8-2-4,tuning,2,2.83077,-4.0,0.002,1.0,True
johnson8-2-4,tuned,50,5.64007,-4.0,0.002,1.0,True
keller4,tuning,2,2.8499,-11.0,0.01,10.0,True
keller4,tuned,1,5.71345,-11.0,0.01,10.0,True
keller4,tuning,2,2.85376,-11.0,0.01,10.0,True
keller4,tuned,2,5.67456,-11.0,0.01,10.0,True
keller4,tuning,2,2.93165,-11.0,0.01,10.0,True
keller4,tuned,5,5.80688,-11.0,0.01,10.0,True
keller4,tuning,2,2.8426,-11.0,0.01,10.0,True
keller4,tuned,10,5.92801,-11.0,0.01,10.0,True
keller4,tuning,2,2.90625,-11.0,0.01,10.0,True
keller4,tuned,20,5.9568,-11.0,0.01,10.0,True
keller4,tuning,2,2.86011,-11.0,0.01,10.0,True
keller4,tuned,50,6.87629,-11.0,0.01,10.0,True
keller5,tuning,2,3.05553,-24.0,0.05,5.0,True
keller5,tuned,1,5.91747,-24.0,0.03,7.5,True
keller5,tuning,2,2.89374,-24.0,0.05,5.0,True
keller5,tuned,2,5.73059,-24.0,0.03,7.5,True
keller5,tuning,2,2.95114,-24.0,0.05,5.0,True
keller5,tuned,5,6.12755,-25.0,0.03,7.5,True
keller5,tuning,2,2.8688,-24.0,0.05,5.0,True
keller5,tuned,10,6.65066,-26.0,0.01,7.5,True
