,instance,process,time,value,constraint satisfaction,best known solution
504,nug30,QUBO,19.16846,6622.0,True,6124
505,sko100a,MILP,1.98439,179718.0,True,152002
506,sko100a,MILP,196.00398,179718.0,True,152002
507,sko100a,MIQP,0.36869,179718.0,True,152002
508,sko100a,MIQP,180.47558,179718.0,True,152002
509,sko100a,QUBO,0.2876,760291.19,False,152002
510,sko100a,QUBO,141.85472,180374.03,True,152002
511,sko100a,QUBO,146.42777,173336.03,True,152002
512,sko100a,QUBO,150.9482,169662.03,True,152002
513,sko100a,QUBO,155.41833,167520.03,True,152002
514,sko100a,QUBO,187.10176,167520.03,True,152002
515,sko42,MILP,0.05834,20008.0,True,15812
516,sko42,MILP,4.9102,19228.0,True,15812
517,sko42,MILP,7.0368,19028.0,True,15812
518,sko42,MILP,12.00867,18844.0,True,15812
519,sko42,MILP,12.315,18820.0,True,15812
520,sko42,MILP,16.08608,18666.0,True,15812
521,sko42,MILP,19.80239,18648.0,True,15812
522,sko42,MILP,31.48131,17770.0,True,15812
523,sko42,MILP,33.62006,17770.0,True,15812
524,sko42,MIQP,0.01383,20008.0,True,15812
525,sko42,MIQP,20.89995,18774.0,True,15812
526,sko42,MIQP,20.90756,18742.0,True,15812
527,sko42,MIQP,20.91477,18710.0,True,15812
528,sko42,MIQP,21.08138,18488.0,True,15812
529,sko42,MIQP,21.29733,18390.0,True,15812
530,sko42,MIQP,21.68563,17644.0,True,15812
